season,started_month,started_day,weekday_type,started_hour_of_day,formatted_hour,member_casual,total_count,avg_duration,avg_distance
Fall,Sep,Sunday,weekend,0,12 AM,member,1259,12.86,1.48
Summer,Jun,Tuesday,weekday,22,10 PM,member,1255,14.13,1.67
Spring,Apr,Tuesday,weekday,15,3 PM,casual,1255,19.84,1.42
Winter,Feb,Wednesday,weekday,13,1 PM,member,1253,10.17,1.09
Spring,Apr,Monday,weekday,19,7 PM,casual,1252,19.28,1.33
Summer,Jun,Thursday,weekday,8,8 AM,casual,1252,14.16,1.34
Winter,Feb,Sunday,weekend,11,11 AM,member,1252,13.04,1.24
Fall,Oct,Saturday,weekend,21,9 PM,member,1251,14.43,1.38
Fall,Sep,Tuesday,weekday,11,11 AM,casual,1247,20.17,1.3
Spring,May,Tuesday,weekday,10,10 AM,member,1247,11.19,1.32
Summer,Jun,Friday,weekday,10,10 AM,casual,1246,26.56,1.53
Summer,Jul,Tuesday,weekday,7,7 AM,casual,1245,12.82,1.27
