season,started_month,started_day,weekday_type,started_hour_of_day,formatted_hour,member_casual,total_count,avg_duration,avg_distance
Fall,Sep,Friday,weekday,8,8 AM,casual,1590,12.01,1.19
Spring,Apr,Wednesday,weekday,14,2 PM,member,1590,9.79,1.23
Fall,Oct,Wednesday,weekday,8,8 AM,casual,1586,10.56,1.13
Summer,Aug,Sunday,weekend,8,8 AM,member,1586,13.42,1.55
Winter,Jan,Monday,weekday,8,8 AM,member,1580,10.34,1.22
Summer,Aug,Saturday,weekend,0,12 AM,casual,1577,17.22,1.34
Winter,Jan,Thursday,weekday,15,3 PM,member,1575,10.16,1.11
Winter,Feb,Monday,weekday,7,7 AM,member,1574,13.05,1.31
Spring,May,Monday,weekday,10,10 AM,member,1574,11.95,1.33
Summer,Jun,Wednesday,weekday,11,11 AM,casual,1573,22.88,1.51
Winter,Feb,Thursday,weekday,19,7 PM,member,1572,11.78,1.16
Spring,Apr,Friday,weekday,9,9 AM,member,1572,9.51,1.2
Summer,Jul,Friday,weekday,22,10 PM,casual,1571,19.55,1.42
Summer,Jun,Tuesday,weekday,20,8 PM,casual,1570,16.43,1.48
Fall,Nov,Thursday,weekday,15,3 PM,member,1569,12.32,1.42
Winter,Jan,Monday,weekday,18,6 PM,member,1569,10.47,1.11
Fall,Sep,Wednesday,weekday,11,11 AM,casual,1568,20.21,1.29
Fall,Sep,Wednesday,weekday,22,10 PM,member,1566,11.94,1.57
Spring,Apr,Tuesday,weekday,21,9 PM,member,1565,11.47,1.36
Spring,Mar,Saturday,weekend,16,4 PM,casual,1561,20.81,1.44
Winter,Dec,Saturday,weekend,16,4 PM,member,1560,12.0,1.18
Summer,Aug,Saturday,weekend,8,8 AM,casual,1558,20.63,1.67
Summer,Jun,Tuesday,weekday,10,10 AM,member,1558,11.64,1.27
Fall,Nov,Tuesday,weekday,11,11 AM,member,1557,10.01,1.1
Spring,May,Monday,weekday,12,12 PM,casual,1552,28.49,1.49
Summer,Aug,Wednesday,weekday,13,1 PM,casual,1551,23.19,1.48
Winter,Dec,Saturday,weekend,10,10 AM,member,1549,10.67,1.17
Summer,Jul,Sunday,weekend,20,8 PM,casual,1548,21.05,1.38
Fall,Oct,Thursday,weekday,22,10 PM,member,1547,11.54,1.42
Fall,Sep,Tuesday,weekday,14,2 PM,casual,1546,19.82,1.34
Summer,Aug,Wednesday,weekday,21,9 PM,casual,1545,19.31,1.46
Fall,Sep,Thursday,weekday,11,11 AM,casual,1539,19.07,1.32
Fall,Sep,Tuesday,weekday,20,8 PM,casual,1538,13.56,1.29
Winter,Feb,Sunday,weekend,14,2 PM,member,1537,13.24,1.35
Summer,Jul,Thursday,weekday,11,11 AM,casual,1537,25.72,1.7
Fall,Sep,Saturday,weekend,23,11 PM,member,1533,12.49,1.43
Spring,Apr,Wednesday,weekday,12,12 PM,member,1532,9.7,1.11
Summer,Jun,Tuesday,weekday,14,2 PM,casual,1532,23.46,1.48
Summer,Aug,Friday,weekday,9,9 AM,casual,1531,23.3,1.55
Spring,May,Sunday,weekend,10,10 AM,casual,1531,27.85,1.59
Fall,Oct,Sunday,weekend,8,8 AM,member,1530,12.54,1.42
Winter,Jan,Tuesday,weekday,18,6 PM,member,1528,11.66,1.1
Fall,Sep,Tuesday,weekday,21,9 PM,casual,1528,13.51,1.34
Fall,Oct,Tuesday,weekday,15,3 PM,casual,1528,18.87,1.38
Winter,Dec,Tuesday,weekday,15,3 PM,member,1526,9.49,1.14
Winter,Dec,Friday,weekday,11,11 AM,member,1523,11.92,1.09
Winter,Dec,Monday,weekday,7,7 AM,member,1519,9.51,1.24
Winter,Feb,Tuesday,weekday,14,2 PM,member,1516,12.59,1.36
Summer,Jun,Saturday,weekend,23,11 PM,casual,1515,20.45,1.43
Fall,Oct,Monday,weekday,15,3 PM,casual,1515,20.57,1.39
Summer,Jun,Friday,weekday,21,9 PM,casual,1512,17.78,1.3
Summer,Aug,Sunday,weekend,21,9 PM,member,1510,12.56,1.46
Summer,Jun,Sunday,weekend,21,9 PM,casual,1510,20.57,1.43
Spring,May,Thursday,weekday,15,3 PM,casual,1510,21.03,1.53
Fall,Oct,Thursday,weekday,19,7 PM,casual,1508,12.54,1.3
Fall,Oct,Saturday,weekend,20,8 PM,member,1508,11.44,1.3
Fall,Sep,Friday,weekday,10,10 AM,casual,1507,22.83,1.44
Spring,Apr,Saturday,weekend,10,10 AM,casual,1507,25.71,1.7
Spring,Mar,Tuesday,weekday,14,2 PM,member,1506,10.25,1.29
Summer,Jul,Wednesday,weekday,8,8 AM,casual,1505,12.72,1.28
Fall,Sep,Thursday,weekday,9,9 AM,casual,1505,15.17,1.21
Winter,Dec,Thursday,weekday,14,2 PM,member,1504,11.75,1.17
Winter,Feb,Sunday,weekend,16,4 PM,member,1502,15.96,1.36
Spring,Mar,Friday,weekday,7,7 AM,member,1502,9.76,1.33
Summer,Jun,Saturday,weekend,7,7 AM,member,1501,13.09,1.61
Summer,Jun,Saturday,weekend,0,12 AM,casual,1500,20.03,1.39
Fall,Sep,Monday,weekday,7,7 AM,casual,1500,11.26,1.18
Spring,Mar,Wednesday,weekday,14,2 PM,member,1499,10.66,1.26
Fall,Oct,Monday,weekday,6,6 AM,member,1499,10.44,1.4
Winter,Feb,Friday,weekday,18,6 PM,member,1497,13.47,1.16
Fall,Oct,Sunday,weekend,18,6 PM,casual,1497,16.85,1.34
Summer,Aug,Friday,weekday,23,11 PM,member,1497,12.23,1.56
Spring,Mar,Monday,weekday,14,2 PM,member,1496,10.89,1.24
